,belongs_to_collection,genres,id,overview,popularity,production_companies,status,tagline,title,vote_average,vote_count,director
536,Blade Runner Collection,"Science Fiction, Drama, Thriller",78,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,"[{'name': 'Shaw Brothers', 'id': 5798}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'The Ladd Company', 'id': 7965}]",Released,Man has made his match... now it's his problem.,Blade Runner,7.9,3833.0,['Ridley Scott']
17879,The Avengers Collection,"Science Fiction, Action, Adventure",24428,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",89.887648,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Marvel Studios', 'id': 420}]",Released,Some assembly required.,The Avengers,7.4,12000.0,['Joss Whedon']
43289,,"Action, Animation, Comedy, Family",268531,"Two mischievous kids hypnotize their mean elementary school principal and turn him into their comic book creation, the kind-hearted and elastic-banded Captain Underpants.",88.561239,"[{'name': 'DreamWorks Animation', 'id': 521}, {'name': 'Scholastic Entertainment', 'id': 30246}]",Released,,Captain Underpants: The First Epic Movie,6.5,159.0,['David Soren']
33405,,"Drama, Thriller, Science Fiction",339988,"A young tech worker takes a job at a greedy Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will have no effect whatsoever.",88.439243,"[{'name': 'Likely Story', 'id': 1785}, {'name': 'Playtone', 'id': 4171}, {'name': 'Image Nation', 'id': 53299}]",Released,Knowing is good. Knowing everything is better.,The Circle,5.4,1015.0,['James Ponsoldt']
44268,,"Thriller, Romance, Science Fiction",316154,"In a desert wasteland in Texas, a muscled cannibal breaks one important rule: don’t play with your food.",78.8072,"[{'name': 'Annapurna Pictures', 'id': 13184}, {'name': 'Vice Films', 'id': 17209}, {'name': 'Neon', 'id': 90733}]",Released,,The Bad Batch,5.3,160.0,['Ana Lily Amirpour']
24163,The Maze Runner Collection,"Action, Mystery, Science Fiction, Thriller",198663,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",76.93789,"[{'name': 'Ingenious Media', 'id': 290}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Gotham Group', 'id': 3672}, {'name': 'Dayday Films', 'id': 8569}, {'name': 'Temple Hill Entertainment', 'id': 12292}, {'name': 'TSG Entertainment', 'id': 22213}]",Released,Run - Remember - Survive,The Maze Runner,7.0,5540.0,['Wes Ball']
23735,Planet of the Apes (Reboot) Collection,"Science Fiction, Action, Drama, Thriller",119450,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",75.385211,"[{'name': 'Ingenious Media', 'id': 290}, {'name': 'Chernin Entertainment', 'id': 7076}, {'name': 'TSG Entertainment', 'id': 22213}]",Released,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4511.0,['Matt Reeves']
42907,Prometheus Collection,"Horror, Science Fiction, Thriller",126889,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world – which has its sole inhabitant the 'synthetic', David, survivor of the doomed Prometheus expedition.",72.884078,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Scott Free Productions', 'id': 1645}, {'name': 'Brandywine Productions', 'id': 19747}, {'name': 'TSG Entertainment', 'id': 22213}]",Released,The path to paradise begins in hell.,Alien: Covenant,5.7,2677.0,['Ridley Scott']
42317,,"Action, Science Fiction, Thriller",315837,"In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",68.726676,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Shanghai Film Group', 'id': 3407}, {'name': 'Reliance Entertainment', 'id': 7294}, {'name': 'Arad Productions', 'id': 14439}, {'name': 'Grosvenor Park Productions', 'id': 17449}, {'name': 'Steven Paul Production', 'id': 44311}, {'name': 'Huahua Media', 'id': 83645}, {'name': 'Seaside Entertainment', 'id': 88981}, {'name': 'Amblin Partners', 'id': 92138}, {'name': 'Weying Galaxy Entertainment', 'id': 93466}]",Released,There's nothing sadder than a puppet without a ghost.,Ghost in the Shell,5.9,2547.0,['Rupert Sanders']
43304,Undisputed Collection,"Thriller, Action, Crime",348893,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude",67.955052,"[{'name': 'Nu Boyana Viburno', 'id': 34070}]",Released,Boyka is back!,Boyka: Undisputed IV,5.8,333.0,['Todor Chapkanov']
23716,,Drama,244786,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",64.29999,"[{'name': 'Bold Films', 'id': 2266}, {'name': 'Blumhouse Productions', 'id': 3172}, {'name': 'Right of Way Films', 'id': 32157}]",Released,The road to greatness can take you to the edge.,Whiplash,8.3,4376.0,['Damien Chazelle']
2852,,Drama,550,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",63.869599,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Taurus Film', 'id': 20555}, {'name': 'Linson Films', 'id': 54050}, {'name': 'Atman Entertainment', 'id': 54051}, {'name': 'Knickerbocker Films', 'id': 54052}]",Released,Mischief. Mayhem. Soap.,Fight Club,8.3,9678.0,['David Fincher']
44620,,"Science Fiction, Thriller",406990,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",60.581223,"[{'name': 'Vendome Pictures', 'id': 7460}, {'name': 'Nexus Factory', 'id': 7561}, {'name': 'Umedia', 'id': 19037}, {'name': 'Snd Films', 'id': 26591}, {'name': 'Raffaella Productions', 'id': 35916}, {'name': 'Title Media', 'id': 41813}]",Released,Seven sisters. One identity.,What Happened to Monday,7.3,598.0,['Tommy Wirkola']
45192,,"Fantasy, Horror, Thriller",440597,"A teenage girl discovers a box with magical powers, but those powers comes with a deadly price.",59.578823,"[{'name': 'Broad Green Pictures', 'id': 49389}, {'name': 'Busted Shark Productions', 'id': 60621}]",Released,Be careful what you wish for,Wish Upon,5.3,127.0,['John R. Leonetti']
26621,Thor Collection,"Action, Adventure, Fantasy, Science Fiction",284053,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",57.283628,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Marvel Studios', 'id': 420}]",Post Production,,Thor: Ragnarok,0.0,0.0,['Taika Waititi']
42179,The Wolverine Collection,"Action, Drama, Science Fiction",263115,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",54.581997,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': ""Donners' Company"", 'id': 431}, {'name': 'Marvel Entertainment', 'id': 7505}, {'name': 'TSG Entertainment', 'id': 22213}]",Released,His time has come,Logan,7.6,6310.0,['James Mangold']
23796,Guardians of the Galaxy Collection,"Action, Science Fiction, Adventure",118340,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",53.291601,"[{'name': 'Marvel Studios', 'id': 420}, {'name': 'Moving Picture Company (MPC)', 'id': 20478}, {'name': 'Bulletproof Cupid', 'id': 54850}, {'name': 'Revolution Sun Studios', 'id': 76043}]",Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,10014.0,['James Gunn']
39715,,"Drama, Thriller, Horror, Adventure",403119,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",52.854103,"[{'name': 'Dimension Films', 'id': 7405}, {'name': 'Tea Shop & Film Company', 'id': 13161}, {'name': 'The Fyzz Facility', 'id': 63443}, {'name': 'Flexibon Films', 'id': 79822}]",Released,No way out. No way up. No chance in hell.,47 Meters Down,5.1,548.0,['Johannes Roberts']
314,,"Drama, Crime",278,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Warner Bros.', 'id': 6194}]",Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8358.0,['Frank Darabont']
39539,,"Action, Adventure, Drama",360249,Year 1206. Norway is ravaged by civil war. The King's illegitimate son is guarded in deep secret. A boy that half of the kingdom wants to kill and two men will protect to the death. A boy named Earl Håkonsson. Birkebeiners is the story of the escape that changed Norway's history forever.,50.949523,"[{'name': 'Newgrange Pictures', 'id': 16076}, {'name': 'Paradox Film 3', 'id': 78093}]",Released,A story of legendary bravery,The Last King,5.2,47.0,['Nils Gaup']
45006,,"Action, Western, Science Fiction, Fantasy, Horror",353491,"The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O’Dim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black.",50.903593,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Weed Road Pictures', 'id': 433}, {'name': 'Media Rights Capital', 'id': 2531}, {'name': 'Sony Pictures Entertainment', 'id': 5752}]",Released,There are other worlds than these,The Dark Tower,5.7,688.0,['Nikolaj Arcel']
42177,John Wick Collection,"Thriller, Action, Crime",324552,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",49.247505,"[{'name': 'Thunder Road Pictures', 'id': 3528}, {'name': 'LionsGate', 'id': 7571}, {'name': '87Eleven', 'id': 23008}]",Released,Never stab the devil in the back,John Wick: Chapter 2,6.7,2924.0,['Chad Stahelski']
43258,The Fast and the Furious Collection,"Action, Crime, Thriller",337339,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",48.573287,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Original Film', 'id': 333}, {'name': 'One Race Films', 'id': 7154}]",Released,Family no more,The Fate of the Furious,6.8,3803.0,['F. Gary Gray']
351,,"Comedy, Drama, Romance",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,"[{'name': 'Paramount Pictures', 'id': 4}]",Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,8147.0,['Robert Zemeckis']
6414,Pirates of the Caribbean Collection,"Adventure, Fantasy, Action",22,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",47.326665,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}]",Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191.0,['Gore Verbinski']
45023,,Action,460846,"An ex-special services veteran, down on his luck and desperate for work, takes a job as a security guard at a run-down mall in a rough area of town. On his first night on the job, he opens the door to a distraught and desperate young girl who has fled the hijacking of a Police motorcade that was transporting her to testify as a witness in a trial. Hot on her heels is the psychopathic hijacker and his team of henchmen, who will stop at nothing to extract and eliminate the witness.",47.114366,"[{'name': 'Nu Image / Millennium Films', 'id': 25473}, {'name': 'Nu Boyana Film Studios', 'id': 74795}]",Released,,Security,6.0,113.0,['Alain Desrochers']
39354,,"Action, Adventure",258489,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",45.38298,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Dark Horse Entertainment', 'id': 552}, {'name': 'Jerry Weintraub Productions', 'id': 2596}, {'name': 'RatPac-Dune Entertainment', 'id': 41624}, {'name': 'Beagle Pug Films', 'id': 46339}, {'name': 'Riche Productions', 'id': 86565}, {'name': 'Village Roadshow Films North America', 'id': 86566}]",Released,Human. Nature.,The Legend of Tarzan,5.5,2488.0,['David Yates']
42222,,"Action, Drama, Fantasy",274857,"When the child Arthur’s father is murdered, Vortigern, Arthur’s uncle, seizes the crown. Robbed of his birthright and with no idea who he truly is, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword Excalibur from the stone, his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not.",44.251369,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Weed Road Pictures', 'id': 433}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Wigram Productions', 'id': 23202}, {'name': 'Safehouse Pictures', 'id': 25577}]",Released,From nothing comes a King,King Arthur: Legend of the Sword,6.5,1506.0,['Guy Ritchie']
26624,,"Action, Adventure, Fantasy, Science Fiction",284052,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under his wing and trains him to defend the world against evil.",43.847654,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Marvel Studios', 'id': 420}]",Released,Open your mind. Change your reality.,Doctor Strange,7.1,5880.0,['Scott Derrickson']
30591,,"Action, Adventure, Crime, Fantasy, Science Fiction",297761,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",42.965027,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}]",Released,Worst Heroes Ever,Suicide Squad,5.9,7717.0,['David Ayer']
256,Star Wars Collection,"Adventure, Action, Science Fiction",11,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",Released,"A long time ago in a galaxy far, far away...",Star Wars,8.1,6778.0,['George Lucas']
30737,Ted Collection,Comedy,214756,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",42.061481,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Fuzzy Door Productions', 'id': 8789}, {'name': 'Bluegrass Films', 'id': 13778}, {'name': 'Smart Entertainment', 'id': 44783}, {'name': 'Media Rights Capital (MRC)', 'id': 86655}]",Released,"Ted is Coming, Again.",Ted 2,6.2,2524.0,['Seth MacFarlane']
522,,"Drama, History, War",424,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",Released,"Whoever saves one life, saves the world entire.",Schindler's List,8.3,4436.0,['Steven Spielberg']
17649,Planet of the Apes (Reboot) Collection,"Thriller, Action, Drama, Science Fiction",61791,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects – especially Caesar, his pet chimpanzee.",41.613762,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Ingenious Media', 'id': 290}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Dune Entertainment III', 'id': 6332}, {'name': 'Chernin Entertainment', 'id': 7076}, {'name': 'Big Screen Productions', 'id': 10893}]",Released,Evolution Becomes Revolution.,Rise of the Planet of the Apes,7.0,4452.0,['Rupert Wyatt']
25248,The Maze Runner Collection,Action,294254,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",41.225769,"[{'name': 'Gotham Group', 'id': 3672}, {'name': 'Temple Hill Entertainment', 'id': 12292}, {'name': 'TSG Entertainment', 'id': 22213}]",Released,The Maze Was Just the Beginning.,Maze Runner: The Scorch Trials,6.5,3148.0,['Wes Ball']
835,The Godfather Collection,"Drama, Crime",238,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",41.109264,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Alfran Productions', 'id': 10211}]",Released,An offer you can't refuse.,The Godfather,8.5,6024.0,['Francis Ford Coppola']
30449,Fantastic Beasts Collection,"Adventure, Family, Fantasy",259316,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",41.051421,"[{'name': 'Heyday films', 'id': 437}, {'name': 'Warner Bros.', 'id': 6194}]",Released,From J.K. Rowling's wizarding world.,Fantastic Beasts and Where to Find Them,7.2,5612.0,['David Yates']
5497,,"Fantasy, Adventure, Animation, Family",129,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,41.048867,"[{'name': 'Studio Ghibli', 'id': 10342}]",Released,The tunnel led Chihiro to a mysterious town...,Spirited Away,8.3,3968.0,['Hayao Miyazaki']
45157,,"Action, Crime, Mystery, Thriller",395834,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,40.796775,"[{'name': 'Thunder Road Pictures', 'id': 3528}, {'name': 'Star Thrower Entertainment', 'id': 27497}, {'name': 'Acacia Filmed Entertainment', 'id': 68413}]",Released,Nothing is harder to track than the truth.,Wind River,7.4,181.0,['Taylor Sheridan']
